key,registrationMoment,typeOfIndicent,description,severityLevel,draftMode,key:flightAssignment
activityLog-00,2024/08/13 21:01,Turbulences,"Turbulences due to weather conditions",0,True,flight-assignment-04
activityLog-01,2024/09/13 21:00,Strong storm,"Strong storm when taking off",5,True,flight-assignment-04
activityLog-02,2024/12/31 23:59,Strong turbulence,"Strong turbulence when landing",7,True,flight-assignment-06
activityLog-03,2024/12/31 23:59,Strong turbulence,"Strong turbulence when landing",10,True,flight-assignment-06
activityLog-04,2025/01/01 00:00,Strong turbulence,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",10,False,flight-assignment-06
activityLog-05,2024/01/20 00:01,Strong turbulence,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolo",10,False,flight-assignment-06
activityLog-06,2024/01/20 00:01,S,"<script>alert(‘Hacked!’);</script>",10,False,flight-assignment-06
activityLog-07,2024/01/20 00:01,โลเร็ม อิปซัม,"s",10,False,flight-assignment-06



